iwa_id,GWA Element Name,exposure,gwa_aioe,hybrid,channel
4.A.4.b.6.j,Providing Consultation and Advice to Others,0.3,0.5803,0.4402,SOCL
4.A.4.b.6.k,Providing Consultation and Advice to Others,0.7,0.5803,0.6402,SOCL
4.A.4.c.1.a,Performing Administrative Activities,0.9,0.6485,0.7743,INFO
4.A.4.c.1.b,Performing Administrative Activities,0.8,0.6485,0.7243,INFO
4.A.4.c.1.c,Performing Administrative Activities,0.85,0.6485,0.7493,INFO
4.A.4.c.1.d,Performing Administrative Activities,0.85,0.6485,0.7493,INFO
4.A.4.c.1.e,Performing Administrative Activities,0.2,0.6485,0.4243,PHYS
4.A.4.c.1.f,Performing Administrative Activities,0.35,0.6485,0.4993,PHYS
4.A.4.c.2.a,Staffing Organizational Units,0.6,0.6326,0.6163,MGMT
4.A.4.c.2.b,Staffing Organizational Units,0.7,0.6326,0.6663,MGMT
4.A.4.c.3.a,Monitoring and Controlling Resources,0.35,0.636,0.493,PHYS
4.A.4.c.3.b,Monitoring and Controlling Resources,0.6,0.636,0.618,CARE
4.A.4.c.3.c,Monitoring and Controlling Resources,0.15,0.636,0.393,PHYS
4.A.4.c.3.d,Monitoring and Controlling Resources,0.55,0.636,0.593,INFO
4.A.4.c.3.e,Monitoring and Controlling Resources,0.7,0.636,0.668,INFO
4.A.4.c.3.f,Monitoring and Controlling Resources,0.5,0.636,0.568,CARE
4.A.4.c.3.g,Monitoring and Controlling Resources,0.75,0.636,0.693,INFO
