O*NET-SOC Code,Title,Task ID,Task,Task Type,task_exposure,n_dwas,channel,importance,relevance,weight,baseline_exposure,narrow_flag,narrow_exposure,broad_flag,broad_exposure,matched_rule_ids,matched_text,text_flag,combined_flag,text_exposure,combined_exposure
19-2041.03,Industrial Ecologists,16882,Research sources of pollution to determine environmental impact or to develop methods of pollution abatement or control.,Core,0.65,1,INFO,3.24,73.91,2.394684,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2041.03,Industrial Ecologists,19976,Perform environmentally extended input-output (EE I-O) analyses.,Core,0.85,1,ANLY,3.23,95.65,3.089495,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2041.03,Industrial Ecologists,19979,Promote use of environmental management systems (EMS) to reduce waste or to improve environmentally sound use of natural resources.,Core,0.65,1,SOCL,3.1,86.96,2.6957599999999995,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2041.03,Industrial Ecologists,16889,Investigate the impact of changed land management or land use practices on ecosystems.,Core,0.85,1,ANLY,3.05,95.65,2.917325,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2041.03,Industrial Ecologists,16890,Develop or test protocols to monitor ecosystem components and ecological processes.,Supplemental,0.7,1,CRTV,3.08,56.52,1.740816,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2041.03,Industrial Ecologists,19981,"Research environmental effects of land and water use to determine methods of improving environmental conditions or increasing outputs, such as crop yields.",Supplemental,0.65,1,INFO,2.95,86.96,2.56532,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2041.03,Industrial Ecologists,16883,"Provide industrial managers with technical materials on environmental issues, regulatory guidelines, or compliance actions.",Supplemental,0.9,1,INFO,2.89,82.61,2.387429,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-2041.03,Industrial Ecologists,16896,"Conduct applied research on the effects of industrial processes on the protection, restoration, inventory, monitoring, or reintroduction of species to the natural environment.",Supplemental,0.65,1,INFO,2.8,65.22,1.82616,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2041.03,Industrial Ecologists,16892,"Conduct scientific protection, mitigation, or restoration projects to prevent resource damage, maintain the integrity of critical habitats, and minimize the impact of human activities.",Supplemental,0.7,1,CRTV,2.47,65.22,1.610934,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2041.03,Industrial Ecologists,16879,Investigate accidents affecting the environment to assess ecological impact.,Supplemental,0.65,1,INFO,2.41,73.91,1.781231,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2041.03,Industrial Ecologists,19967,"Conduct analyses to determine the maximum amount of work that can be accomplished for a given amount of energy in a system, such as industrial production systems and waste treatment systems.",Supplemental,0.825,2,ANLY,2.39,78.26,1.870414,0.825,False,0.825,False,0.825,,,False,False,0.825,0.825
19-2041.03,Industrial Ecologists,16880,Investigate the adaptability of various animal and plant species to changed environmental conditions.,Supplemental,0.7,1,INFO,2.15,56.52,1.21518,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3703,"Plan or conduct geological, geochemical, or geophysical field studies or surveys, sample collection, or drilling and testing programs used to collect data for research or application.",Core,0.825,2,CRTV,4.43,93.75,4.153125,0.825,False,0.825,False,0.825,,,False,False,0.825,0.825
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",15224,"Analyze and interpret geological data, using computer software.",Core,0.85,2,ANLY,4.42,96.88,4.282095999999999,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3704,"Investigate the composition, structure, or history of the Earth's crust through the collection, examination, measurement, or classification of soils, minerals, rocks, or fossil remains.",Core,0.8,1,INFO,4.38,90.62,3.969156,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3702,"Analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos.",Core,0.85,2,ANLY,4.35,96.88,4.21428,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",20391,"Identify risks for natural disasters, such as mudslides, earthquakes, or volcanic eruptions.",Core,0.85,2,ANLY,4.17,71.88,2.997396,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3705,"Prepare geological maps, cross-sectional diagrams, charts, or reports concerning mineral extraction, land use, or resource management, using results of fieldwork or laboratory research.",Core,0.75,1,CRTV,4.16,78.12,3.2497920000000007,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3712,"Communicate geological findings by writing research papers, participating in conferences, or teaching geological science at universities.",Core,0.6,3,SOCL,4.06,100.0,4.06,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3706,"Locate and estimate probable natural gas, oil, or mineral ore deposits or underground water resources, using aerial photographs, charts, or research or survey results.",Core,0.85,1,ANLY,3.83,75.0,2.8725,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3711,"Advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",Core,0.7,1,SOCL,3.81,67.74,2.580894,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3713,"Measure characteristics of the Earth, such as gravity or magnetic fields, using equipment such as seismographs, gravimeters, torsion balances, or magnetometers.",Core,0.6,1,INFO,3.81,68.75,2.619375,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",20390,"Locate and review research articles or environmental, historical, or technical reports.",Core,0.85,1,INFO,3.8,93.75,3.5625,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3709,"Conduct geological or geophysical studies to provide information for use in regional development, site selection, or development of public works projects.",Core,0.8,1,INFO,3.7,74.19,2.74503,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",21176,"Review environmental, historical, or technical reports and publications for accuracy.",Core,0.85,1,ANLY,3.68,78.12,2.874816,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3707,"Assess ground or surface water movement to provide advice on issues, such as waste management, route and site selection, or the restoration of contaminated sites.",Supplemental,0.6,1,INFO,4.17,56.25,2.345625,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",20392,"Inspect construction projects to analyze engineering problems, using test equipment or drilling machinery.",Supplemental,0.4,2,INFO,4.0,28.12,1.1248,0.4,False,0.4,False,0.4,physical_objects,machinery,True,True,0.0,0.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19768,Provide advice on the safe siting of new nuclear reactor projects or methods of nuclear waste management.,Supplemental,0.6,1,SOCL,3.92,40.62,1.5923039999999995,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",15226,"Design geological mine maps, monitor mine structural integrity, or advise and monitor mining crews.",Supplemental,0.75,1,CRTV,3.69,40.62,1.498878,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19771,Review work plans to determine the effectiveness of activities for mitigating soil or groundwater contamination.,Supplemental,0.85,1,ANLY,3.67,50.0,1.835,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3714,"Test industrial diamonds or abrasives, soil, or rocks to determine their geological characteristics, using optical, x-ray, heat, acid, or precision instruments.",Supplemental,0.85,1,ANLY,3.5,56.25,1.96875,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19772,"Study historical climate change indicators found in locations, such as ice sheets or rock formations to develop climate change models.",Supplemental,0.8,1,INFO,3.5,56.25,1.96875,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19763,Develop strategies for more environmentally friendly resource extraction and reclamation.,Supplemental,0.7,1,CRTV,3.42,59.38,2.030796,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",20393,"Identify deposits of construction materials suitable for use as concrete aggregates, road fill, or other applications.",Supplemental,0.85,1,ANLY,3.39,56.25,1.906875,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19765,"Identify new sources of platinum group elements for industrial applications, such as automotive fuel cells or pollution abatement systems.",Supplemental,0.85,1,ANLY,3.25,37.5,1.21875,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19767,Locate potential sources of geothermal energy.,Supplemental,0.85,1,ANLY,3.22,56.25,1.81125,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19770,Research ways to reduce the ecological footprint of increasingly prevalent megacities.,Supplemental,0.7,1,ANLY,3.2,31.25,1.0,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19760,Collaborate with medical or health researchers to address health problems related to geological materials or processes.,Supplemental,0.55,1,MGMT,3.08,38.71,1.192268,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19762,Determine ways to mitigate the negative consequences of mineral dust dispersion.,Supplemental,0.7,1,ANLY,3.08,41.94,1.2917519999999998,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19766,Identify possible sites for carbon sequestration projects.,Supplemental,0.5,2,INFO,3.07,46.88,1.439216,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19764,Develop ways to capture or use gases burned off as waste during oil production processes.,Supplemental,0.75,1,CRTV,3.0,31.25,0.9375,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19769,Research geomechanical or geochemical processes to be used in carbon sequestration projects.,Supplemental,0.8,1,INFO,3.0,38.71,1.1613,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3716,Develop applied software for the analysis and interpretation of geological data.,Supplemental,0.85,1,TECH,2.84,59.38,1.686392,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19761,Determine methods to incorporate geomethane or methane hydrates into global energy production or evaluate the potential environmental impacts of such incorporation.,Supplemental,0.675,2,ANLY,2.55,34.38,0.87669,0.675,False,0.675,False,0.675,,,False,False,0.675,0.675
19-2043.00,Hydrologists,18618,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",Core,0.65,1,SOCL,4.43,100.0,4.43,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2043.00,Hydrologists,9104,Design and conduct scientific hydrogeological investigations to ensure that accurate and appropriate information is available for use in water resource management decisions.,Core,0.8,2,CRTV,4.09,100.0,4.09,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2043.00,Hydrologists,9108,"Measure and graph phenomena such as lake levels, stream flows, and changes in water volumes.",Core,0.75,2,INFO,4.05,95.65,3.873825,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2043.00,Hydrologists,9116,Conduct research and communicate information to promote the conservation and preservation of water resources.,Core,0.625,2,INFO,4.0,95.65,3.826,0.625,False,0.625,False,0.625,,,False,False,0.625,0.625
19-2043.00,Hydrologists,9102,"Coordinate and supervise the work of professional and technical staff, including research assistants, technologists, and technicians.",Core,0.35,1,MGMT,3.91,95.65,3.739915,0.35,False,0.35,False,0.35,,,False,False,0.35,0.35
19-2043.00,Hydrologists,9105,"Study public water supply issues, including flood and drought risks, water quality, wastewater, and impacts on wetland habitats.",Core,0.85,1,ANLY,3.87,100.0,3.87,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2043.00,Hydrologists,9107,"Apply research findings to help minimize the environmental impacts of pollution, waterborne diseases, erosion, and sedimentation.",Core,0.65,1,CRTV,3.86,95.65,3.69209,0.65,False,0.65,False,0.65,apply,Apply,True,True,0.0,0.0
19-2043.00,Hydrologists,9100,"Study and document quantities, distribution, disposition, and development of underground and surface waters.",Core,0.85,2,INFO,3.77,95.65,3.606005,0.8500000000000001,False,0.8500000000000001,False,0.8500000000000001,,,False,False,0.8500000000000001,0.8500000000000001
19-2043.00,Hydrologists,9112,"Install, maintain, and calibrate instruments such as those that monitor water levels, rainfall, and sediments.",Core,0.15,2,PHYS,3.73,100.0,3.73,0.15,True,0.0,True,0.0,handling,Install,True,True,0.0,0.0
19-2043.00,Hydrologists,18617,Develop computer models for hydrologic predictions.,Core,0.75,1,ANLY,3.67,95.45,3.5030149999999995,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2043.00,Hydrologists,9115,"Study and analyze the physical aspects of the earth in terms of hydrological components, including atmosphere, hydrosphere, and interior structure.",Core,0.8,1,INFO,3.65,100.0,3.65,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2043.00,Hydrologists,9119,"Evaluate research data in terms of its impact on issues such as soil and water conservation, flood control planning, and water supply forecasting.",Core,0.65,1,INFO,3.65,100.0,3.65,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2043.00,Hydrologists,9106,Collect and analyze water samples as part of field investigations or to validate data from automatic monitors.,Core,0.1,1,PHYS,3.64,95.65,3.4816600000000006,0.1,True,0.0,True,0.0,,,False,True,0.1,0.0
19-2043.00,Hydrologists,9103,Prepare hydrogeologic evaluations of known or suspected hazardous waste sites and land treatment and feedlot facilities.,Core,0.6,1,ANLY,3.6,86.96,3.13056,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2043.00,Hydrologists,9113,"Evaluate data and provide recommendations regarding the feasibility of municipal projects, such as hydroelectric power plants, irrigation systems, flood warning systems, and waste treatment facilities.",Core,0.75,1,ANLY,3.42,82.61,2.8252620000000004,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2043.00,Hydrologists,9111,Develop or modify methods for conducting hydrologic studies.,Core,0.8,1,CRTV,3.36,95.65,3.2138400000000003,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2043.00,Hydrologists,9118,"Review applications for site plans and permits and recommend approval, denial, modification, or further investigative action.",Core,0.85,1,ANLY,3.35,73.91,2.475985,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2043.00,Hydrologists,9120,"Monitor the work of well contractors, exploratory borers, and engineers and enforce rules regarding their activities.",Core,0.25,1,MGMT,3.24,73.91,2.394684,0.25,False,0.25,False,0.25,,,False,False,0.25,0.25
19-2043.00,Hydrologists,9110,"Answer questions and provide technical assistance and information to contractors or the public regarding issues such as well drilling, code requirements, hydrology, and geology.",Core,0.7,1,SOCL,3.2,90.91,2.9091199999999997,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2043.00,Hydrologists,9123,"Investigate properties, origins, and activities of glaciers, ice, snow, and permafrost.",Core,0.8,1,INFO,3.06,73.91,2.2616460000000003,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2043.00,Hydrologists,9114,Conduct short- and long-term climate assessments and study storm occurrences.,Core,0.8,1,INFO,3.05,95.65,2.917325,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2043.00,Hydrologists,9121,Administer programs designed to ensure the proper sealing of abandoned wells.,Core,0.25,1,MGMT,3.0,69.57,2.0871,0.25,False,0.25,False,0.25,,,False,False,0.25,0.25
19-2043.00,Hydrologists,9109,"Investigate complaints or conflicts related to the alteration of public waters, gathering information, recommending alternatives, informing participants of progress, and preparing draft orders.",Core,0.75,3,INFO,3.0,73.91,2.2173,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2043.00,Hydrologists,9117,"Design civil works associated with hydrographic activities and supervise their construction, installation, and maintenance.",Supplemental,0.3333,3,CRTV,3.0,60.87,1.8261,0.3333333333333333,False,0.3333333333333333,False,0.3333333333333333,,,False,False,0.3333333333333333,0.3333333333333333
19-2043.00,Hydrologists,9122,Compile and evaluate hydrologic information to prepare navigational charts and maps and to predict atmospheric conditions.,Supplemental,0.9,2,ANLY,2.8,68.18,1.90904,0.8999999999999999,False,0.8999999999999999,False,0.8999999999999999,,,False,False,0.8999999999999999,0.8999999999999999
19-2099.01,Remote Sensing Scientists and Technologists,18270,Manage or analyze data obtained from remote sensing systems to obtain meaningful results.,Core,0.85,1,ANLY,4.6,100.0,4.6,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18256,"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS).",Core,0.85,1,ANLY,4.46,100.0,4.46,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18258,Integrate other geospatial data sources into projects.,Core,0.85,1,ANLY,4.44,100.0,4.44,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18260,Organize and maintain geospatial data and associated documentation.,Core,0.9,1,INFO,4.42,100.0,4.42,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-2099.01,Remote Sensing Scientists and Technologists,18265,Compile and format image data to increase its usefulness.,Core,0.75,1,CRTV,4.33,100.0,4.33,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2099.01,Remote Sensing Scientists and Technologists,18259,Prepare or deliver reports or presentations of geospatial project information.,Core,0.65,1,SOCL,4.18,100.0,4.18,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2099.01,Remote Sensing Scientists and Technologists,18267,"Discuss project goals, equipment requirements, or methodologies with colleagues or team members.",Core,0.6,2,SOCL,4.16,100.0,4.16,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
19-2099.01,Remote Sensing Scientists and Technologists,18261,Process aerial or satellite imagery to create products such as land cover maps.,Core,0.95,1,INFO,4.08,96.0,3.9168,0.95,False,0.95,False,0.95,,,False,False,0.95,0.95
19-2099.01,Remote Sensing Scientists and Technologists,18262,"Design or implement strategies for collection, analysis, or display of geographic data.",Core,0.8,1,CRTV,4.04,96.0,3.878400000000001,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-2099.01,Remote Sensing Scientists and Technologists,18257,Develop or build databases for remote sensing or related geospatial project information.,Core,0.9,1,TECH,4.0,100.0,4.0,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-2099.01,Remote Sensing Scientists and Technologists,18264,"Collect supporting data, such as climatic or field survey data, to corroborate remote sensing data analyses.",Core,0.1,2,PHYS,3.88,100.0,3.88,0.1,True,0.0,True,0.0,,,False,True,0.1,0.0
19-2099.01,Remote Sensing Scientists and Technologists,18271,Monitor quality of remote sensing data collection operations to determine if procedural or equipment changes are necessary.,Core,0.7,2,ANLY,3.87,96.0,3.7152,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-2099.01,Remote Sensing Scientists and Technologists,18277,Train technicians in the use of remote sensing technology.,Core,0.55,1,SOCL,3.86,92.0,3.5512,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
19-2099.01,Remote Sensing Scientists and Technologists,18276,Set up or maintain remote sensing data collection systems.,Core,0.05,1,PHYS,3.8,84.0,3.1919999999999997,0.05,True,0.0,True,0.0,,,False,True,0.05,0.0
19-2099.01,Remote Sensing Scientists and Technologists,18263,"Direct all activity associated with implementation, operation, or enhancement of remote sensing hardware or software.",Core,0.55,1,MGMT,3.73,92.0,3.4316000000000004,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
19-2099.01,Remote Sensing Scientists and Technologists,18273,Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.,Core,0.85,2,INFO,3.71,100.0,3.71,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18266,Conduct research into the application or enhancement of remote sensing technology.,Core,0.65,1,ANLY,3.68,92.0,3.3856,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2099.01,Remote Sensing Scientists and Technologists,18275,Recommend new remote sensing hardware or software acquisitions.,Core,0.75,1,SOCL,3.54,96.0,3.3984000000000005,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-2099.01,Remote Sensing Scientists and Technologists,19774,Use remote sensing data for forest or carbon tracking activities to assess the impact of environmental change.,Core,0.65,1,CRTV,3.45,88.0,3.036,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-2099.01,Remote Sensing Scientists and Technologists,18268,"Develop automated routines to correct for the presence of image distorting artifacts, such as ground vegetation.",Core,0.85,1,TECH,3.41,88.0,3.0008000000000004,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18269,Develop new analytical techniques or sensor systems.,Core,0.85,2,TECH,3.39,92.0,3.1188,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-2099.01,Remote Sensing Scientists and Technologists,18274,Participate in fieldwork.,Core,0.1,1,PHYS,3.32,92.0,3.0544,0.1,True,0.0,True,0.0,,,False,True,0.1,0.0
19-2099.01,Remote Sensing Scientists and Technologists,19773,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues.",Core,0.65,1,CRTV,3.23,92.0,2.9716000000000005,0.65,False,0.65,False,0.65,apply,Apply,True,True,0.0,0.0
19-2099.01,Remote Sensing Scientists and Technologists,18272,Direct installation or testing of new remote sensing hardware or software.,Core,0.55,1,MGMT,3.14,88.0,2.7632,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
19-3011.00,Economists,7536,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",Core,0.85,1,INFO,4.61,100.0,4.61,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-3011.00,Economists,7538,"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.",Core,0.9,1,ANLY,4.25,100.0,4.25,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-3011.00,Economists,20052,"Study the socioeconomic impacts of new public policies, such as proposed legislation, taxes, services, and regulations.",Core,0.9,1,INFO,4.18,95.83,4.005694,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-3011.00,Economists,21106,Explain economic impact of policies to the public.,Core,0.75,2,SOCL,4.04,95.83,3.871532,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-3011.00,Economists,23988,Review documents written by others.,Core,0.9,2,ANLY,4.0,95.83,3.8332,0.8999999999999999,False,0.8999999999999999,False,0.8999999999999999,,,False,False,0.8999999999999999,0.8999999999999999
19-3011.00,Economists,7537,"Provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.",Core,0.7,1,SOCL,3.96,100.0,3.96,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-3011.00,Economists,7539,"Formulate recommendations, policies, or plans to solve economic problems or to interpret markets.",Core,0.7,1,SOCL,3.92,100.0,3.92,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-3011.00,Economists,7542,Supervise research projects and students' study projects.,Core,0.35,1,MGMT,3.83,100.0,3.83,0.35,False,0.35,False,0.35,,,False,False,0.35,0.35
19-3011.00,Economists,20053,"Conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals.",Core,0.65,1,SOCL,3.83,95.83,3.670289,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-3011.00,Economists,7540,"Develop economic guidelines and standards, and prepare points of view used in forecasting trends and formulating economic policy.",Core,0.8,1,TECH,3.81,91.67,3.492627,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
19-3011.00,Economists,7544,"Teach theories, principles, and methods of economics.",Core,0.55,1,SOCL,3.53,83.33,2.941549,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
19-3011.00,Economists,7541,"Testify at regulatory or legislative hearings concerning the estimated effects of changes in legislation or public policy, and present recommendations based on cost-benefit analyses.",Core,0.3,1,SOCL,3.29,70.83,2.330307,0.3,False,0.3,False,0.3,,,False,False,0.3,0.3
19-3011.00,Economists,20051,"Provide litigation support, such as writing reports for expert testimony or testifying as an expert witness.",Core,0.475,2,SOCL,3.18,79.17,2.517606,0.475,False,0.475,False,0.475,,,False,False,0.475,0.475
19-3011.00,Economists,7543,"Forecast production and consumption of renewable resources and supply, consumption, and depletion of non-renewable resources.",Supplemental,0.9,1,ANLY,2.83,75.0,2.1225,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-3011.01,Environmental Economists,16902,Write technical documents or academic articles to communicate study results or economic forecasts.,Core,0.9,1,ANLY,4.48,100.0,4.48,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-3011.01,Environmental Economists,16915,"Conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection.",Core,0.65,1,INFO,4.41,100.0,4.41,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-3011.01,Environmental Economists,16910,Collect and analyze data to compare the environmental implications of economic policy or practice alternatives.,Core,0.475,2,ANLY,4.22,100.0,4.22,0.475,True,0.0,True,0.0,,,False,True,0.475,0.0
19-3011.01,Environmental Economists,19985,"Assess the costs and benefits of various activities, policies, or regulations that affect the environment or natural resource stocks.",Core,0.85,1,ANLY,3.93,100.0,3.93,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
19-3011.01,Environmental Economists,16897,"Prepare and deliver presentations to communicate economic and environmental study results, to present policy recommendations, or to raise awareness of environmental consequences.",Core,0.625,2,SOCL,3.89,100.0,3.89,0.625,False,0.625,False,0.625,,,False,False,0.625,0.625
19-3011.01,Environmental Economists,19984,Develop programs or policy recommendations to achieve environmental goals in cost-effective ways.,Core,0.7,1,CRTV,3.89,100.0,3.89,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
19-3011.01,Environmental Economists,16909,"Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.",Core,0.75,1,ANLY,3.85,100.0,3.85,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-3011.01,Environmental Economists,16901,Demonstrate or promote the economic benefits of sound environmental regulations.,Core,0.65,1,SOCL,3.77,96.3,3.63051,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-3011.01,Environmental Economists,16914,Conduct research to study the relationships among environmental problems and patterns of economic production and consumption.,Core,0.65,1,INFO,3.7,100.0,3.7,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
19-3011.01,Environmental Economists,16913,"Perform complex, dynamic, and integrated mathematical modeling of ecological, environmental, or economic systems.",Core,0.75,1,ANLY,3.67,100.0,3.67,0.75,False,0.75,False,0.75,,,False,False,0.75,0.75
19-3011.01,Environmental Economists,16903,"Write social, legal, or economic impact statements to inform decision makers for natural resource policies, standards, or programs.",Core,0.9,1,INFO,3.52,100.0,3.52,0.9,False,0.9,False,0.9,,,False,False,0.9,0.9
19-3011.01,Environmental Economists,21177,Teach courses in environmental economics.,Core,0.55,2,SOCL,3.5,96.3,3.3705000000000003,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
